Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	Baao	Baao	Baao	Baao	Baao	Bato	Bato	Bato	Bato	Bato
Eukaryota;Stramenopiles;Opalozoa;Bicoecea;Bicoecales;Bicoecaceae;Bicosoeca	1.0	1.0	1.0	1.0	1.0	13.0	13.0	13.0	13.0	13.0
Eukaryota;Alveolata;Ciliophora;Heterotrichea;Heterotrichea_X;Condylostomatidae;Linostomella	1.0	1.0	1.0	1.0	1.0	1272.0	1272.0	1272.0	1272.0	1272.0
Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade-C;Spumella	21.0	83.5	146.0	195.0	244.0	177.0	177.0	177.0	177.0	177.0
Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Craspedida;Monosigidae_Group_A;Codosiga	23.0	29.0	35.0	62.5	90.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadales_X;Phacotus	1.0	1.0	1.0	1.0	1.0	872.0	872.0	872.0	872.0	872.0
Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Choanoflagellatea_X;Choanoflagellatea_X_Group_P;Choanoflagellatea_X_Group_P_X	1.0	8.0	15.0	18.0	21.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;Opisthokonta;Metazoa;Rotifera;Rotifera_X;Rotifera_XX;Filinia	1.0	1.0	1.0	1.0	1.0	838.0	838.0	838.0	838.0	838.0
Eukaryota;Opisthokonta;Metazoa;Gastrotricha;Gastrotricha_X;Gastrotricha_XX;Chaetonotus	1.0	1.0	1.0	17.0	33.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;Opisthokonta;Fungi;Cryptomycota;Cryptomycotina;Cryptomycotina_X;Cryptomycotina_XX	80.0	102.5	125.0	167.5	210.0	3.0	3.0	3.0	3.0	3.0
Eukaryota;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Cercomonadida;Cercomonadidae;Cercomonadidae_X	1.0	1.0	1.0	1.0	1.0	13.0	13.0	13.0	13.0	13.0
Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Craspedida;Salpingoecidae_Group_C1;	55.0	87.0	119.0	132.0	145.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;Rhizaria;Cercozoa;Endomyxa;Vampyrellida;Penardia-lineage;	1.0	1.0	1.0	2.5	4.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;Stramenopiles;Ochrophyta;Eustigmatophyceae;Eustigmatophyceae_X;Eustigmatophyceae_XX;Eustigmatophyceae_XXX	55.0	73.0	91.0	100.0	109.0	51.0	51.0	51.0	51.0	51.0
Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade-C;Poteriospumella	132.0	159.0	186.0	248.5	311.0	32.0	32.0	32.0	32.0	32.0
Eukaryota;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Cercomonadida;;	1.0	1.0	1.0	1.0	1.0	37.0	37.0	37.0	37.0	37.0
Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Suessiales;;	49.0	62.0	75.0	100.0	125.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;Stramenopiles;Opalozoa;Bicoecea;Pseudodendromonadales;Pseudodendromonadales_X;Siluania	43.0	62.5	82.0	135.5	189.0	26.0	26.0	26.0	26.0	26.0
Eukaryota;Opisthokonta;Fungi;Chytridiomycota;Chytridiomycotina;Chytridiomycetes;Clydaea	1.0	1.0	1.0	1.0	1.0	51.0	51.0	51.0	51.0	51.0
Eukaryota;Alveolata;Ciliophora;Spirotrichea;Hypotrichia;Hypotrichia_X;Hypotrichia_XX	60.0	176.5	293.0	407.5	522.0	58.0	58.0	58.0	58.0	58.0
Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Conticribra	1.0	1.0	1.0	21.5	42.0	148.0	148.0	148.0	148.0	148.0
Eukaryota;Rhizaria;Cercozoa;Filosa-Imbricatea;;;	1.0	10.5	20.0	23.0	26.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;Hacrobia;Centroheliozoa;Centroheliozoa_X;Pterocystida;Pterocystidae;Pterocystis	1.0	1.0	1.0	5.5	10.0	1.0	1.0	1.0	1.0	1.0
Eukaryota;Alveolata;Ciliophora;Litostomatea;Litostomatea_X;Litostomatea_XX;Litostomatea_XXX	44.0	105.5	167.0	187.5	208.0	272.0	272.0	272.0	272.0	272.0
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyceae;Chlorophyceae_X;Chlorophyceae_XX;Treubaria	1.0	1.0	1.0	1.0	1.0	39.0	39.0	39.0	39.0	39.0
