	W	Reject null hypothesis
38c18cab60a734d4f13a3c49db09a15b	349	True
f7ec9558d73e522ead34caf1676fe877	349	True
a2a185169dfb47c3ab44b9ccbbdc7616	349	True
500ac1cbc3986a6f0ae8d589587bebbc	349	True
dac8f5be48d691f34d05bdfb476083e9	349	True
a3c61aca143ec61aa392496776cbec8c	349	True
ffbbfdbe2fa6fdc28ae220e710fe4eb9	349	True
dec784623252b8854d82f7e6847ca921	349	True
ed288c6ec646cc501cfcf08a27de6fa7	349	True
3f26775d408bff995c08810aa641c2f1	349	True
bf506a67c91a4c03e75a01a3746ff7f9	349	True
d6f31f308f93e8c692b065508741d218	349	True
5c3c65eb221f6d6c23e7b3278cae070f	349	True
e3103f165c8ff35b471c091aad844f65	349	True
7a61ee80eedb3b6eed2d2cacf9b4908e	349	True
73562290dfe2f13db1763626f7adaab2	349	True
b6f0341841fb51de98c95ae052a8a0d8	349	True
14a24659b4ca4108d28380194260fcdc	349	True
6df1e01263fe00d6521639923b9e722d	347	True
71a2e18896f8b0c0122b1a6bccd2b190	347	True
dd8c6590303e21a552929fd8510b878b	347	True
d2d17b52eac542ca8e5ea245588190eb	347	True
6ce56765f435f76bde9bb297741022d2	347	True
03a1847ead3019132e695bf61ee09c53	347	True
1fbefeb1c5afcad4f3655cd5362720bb	347	True
91aa0c18a7de9b74d9bd36bc0c18f968	347	True
36ff62fd16246d650b094871f493011c	347	True
c997961be2aa36928dfb22ba477d4458	347	True
40ea6f854d01a7d53a86e4d399dc3168	347	True
cfdf271d0b2aa48068bc49d837a475c6	347	True
834ac02829fcadb1d6520322eaa2f504	347	True
3a1f1b566439326e8817eada78522c83	347	True
2d9902a7a31818de97c43266d31bb8b7	345	True
6e7e1e0f9d8b5e0566481460f290f783	345	True
43127bebde5ab3bfe04b9b10f26780cd	345	True
10fd1c3d86b3d13fc949c33beeaf1130	345	True
c72fa768b2dff93049b40d2decaf05df	345	True
0aa75a8b2c049b79d7da8b484f2a7ef5	345	True
b0b9b0f135ff6fae100a84026c76843e	345	True
c3dd451ff892388416c16ff16e37887b	345	True
9a4e6db0c55558ed7d212ee75d671df8	345	True
fc4de50a25b529ac2d68710ff25b9577	345	True
0caf3429740ae0fc929f32f3a8d6103d	345	True
d2ac2fe28968f8b157eecd8a1ecdb534	345	True
936eae19c88d90b403f8d680a0c0ef1b	345	True
b02d89c1b90a2f6fa5d3939902341eb8	345	True
75b706983676dc0e3ac7928de89f5305	345	True
80ddb10780a33937f8e6574c650f958f	345	True
618579dbd4c869e9ec528dedd639d5d5	344	True
2eacd270b3703a1c6d88b0eea9b5487c	344	True
1c3a14aa10c89f0e996b697428545deb	344	True
0770c1ce4058c92fc92f5d189d6eedaf	344	True
28749a29585edc20427b0a522ab7b870	344	True
7df2c87ea37059c5d37baaf4c716f395	344	True
68d5482ce9aa3cfe313ec62c06830f51	344	True
60d354394e3b13ff2f19eae01ef8e465	344	True
eff5746966be7f7cf045a855683b4d6e	344	True
e7696afe4815747f03e547c435903e1d	344	True
6ccb150d62c11a7841f5f3d24211c134	344	True
f5dd4c8b6bdcc8cb791e9df6a99dde4b	344	True
a5fbbc365b5a7de763276227a7ce32e1	344	True
999f9410ed61de2ffb0819a0e4416c43	344	True
37f596b4bfbc308e523ae1678b7ee3fa	344	True
efce1859f06949c48713b47e78d49c2c	344	True
d63aa45739aa1d83dd3a2559a918828c	344	True
dad7f4e5eff9141ed5ab4e9b335d9ddf	82	True
0ae00534b441726559abca1241d4e7d9	78	True
1c62a20ec85d2fbabe662a4566e4a167	64	True
33b40cb5c55da4a635a23d16fcec3730	64	True
558643375df35ab00b22cb83314d887a	63	True
186e6a92d761c576b6ef1fdb06df5b1b	57	True
cf901a3877b389f86187af66dc56cb78	56	True
84b39b209ce1dc5cc9a236906c4dde22	56	True
40391517f739ffab9056da4cb2d8ad0d	56	True
aed57a40dff5e3a6f8a3744fbec3401f	50	True
1b4a006add3dbc285f07d4476f77ee08	50	True
dedefee6c97becafde28aec81839d2df	49	True
128b3af4360140b1e3c81ca5a8d2eee0	49	True
27402f37bf7392445d8399fe212f6554	48	True
afeb79660085bf86627d925f4ac8e22e	47	True
0cb678991800d1ae610ed09d5ae0a944	47	True
ec2f36739d090db1165d54d6db40b6f5	47	True
c4b1df44c9442e8284503c76beae3c32	46	True
b239a616a3eccc0c0a3836840bc34e11	45	True
04af14972df3dd95b1da8fc12fa6daed	45	True
34e0e4ea158ba6fae21078c7fc97458d	45	True
75c40e564a274d90bf116c15de63fdb3	44	True
4b1b1f5d951f7bebaae9566171066bf9	44	True
2dcfbd2aa664b404d9a4c90057bba235	44	True
2325a5102f671dfdbf977efbf3dace58	42	True
35113308b01a1f71929c873ced48b2ea	42	True
b2c6211c01493a413ed3b3b70b933cc9	42	True
a17c1ac766f1becfceb4d4edeeffeae8	42	True
efbd930917723688082dc0fcc5e3d893	41	True
fef79731593a13171b651ee5e9e863ab	41	True
16d18906393549f1c11204d4eed7db05	39	True
45ddce6aea5e0528987ec502e7c81d65	38	True
54e811fc19357955a42e862c67d1e4bf	38	True
82a0944a507f841892bb8d1b3888f5a9	37	True
2758f8fc74c2fdcdf086dafdfc802121	37	True
d13a906fdcb443383dd5fb0e3a9c1394	36	True
