# Constructed from biom file
#OTU ID	Baao_Agri_EUK	Baao_Center_EUK	Baao_Tribu_EUK	Bato_Center_EUK	Bato_Resid_EUK	Bato_Tilap_EUK	Bato_Tribu_EUK	Buhi_Center_EUK	Buhi_Resid_EUK	Buhi_Tilap_EUK	Buhi_Tribu_EUK
Eukaryota;TSAR;Alveolata;Ciliophora;Oligohymenophorea;Hymenostomatia	16.0	0.0	7.0	0.0	0.0	0.0	0.0	21.0	0.0	20.0	3.0
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Trebouxiophyceae;Trebouxiophyceae_X	171.0	110.0	42.0	0.0	132.0	49.0	0.0	342.0	189.0	302.0	209.0
Eukaryota;TSAR;Stramenopiles;Gyrista;Pirsoniales;Pirsoniales_X	71.0	74.0	0.0	36.0	114.0	116.0	28.0	0.0	15.0	5.0	12.0
Eukaryota;Archaeplastida;Streptophyta;Streptophyta_X;Zygnemophyceae;Zygnemophyceae_X	0.0	0.0	0.0	0.0	0.0	0.0	0.0	611.0	567.0	412.0	320.0
Eukaryota;Obazoa;Opisthokonta;Fungi;Chytridiomycota;Spizellomycetales	96.0	0.0	40.0	45.0	41.0	120.0	260.0	751.0	514.0	717.0	696.0
Eukaryota;Obazoa;Opisthokonta;Fungi;Aphelidiomycota;Aphelidiales	7.0	10.0	3.0	1424.0	12.0	1401.0	2886.0	2336.0	2733.0	1782.0	2082.0
Eukaryota;Obazoa;Opisthokonta;Fungi;Zoopagomycota;Entomophthoromycotina	20.0	5.0	0.0	0.0	2.0	21.0	132.0	375.0	361.0	251.0	548.0
Eukaryota;TSAR;Alveolata;Ciliophora;Oligohymenophorea;	0.0	0.0	0.0	0.0	66.0	5.0	0.0	0.0	0.0	0.0	0.0
Eukaryota;TSAR;Stramenopiles;Bigyra;Sagenista;Pseudophyllomitidae	0.0	0.0	0.0	6.0	5.0	0.0	0.0	379.0	296.0	111.0	401.0
Eukaryota;TSAR;Alveolata;Apicomplexa;Gregarinomorphea;Neogregarinorida	19.0	0.0	13.0	0.0	0.0	0.0	0.0	6.0	52.0	3.0	13.0
Eukaryota;CRuMs;Collodictyonidae;Collodictyonidae_X;Collodictyonidae_XX;Collodictyonidae_XXX	98.0	16.0	31.0	23.0	32.0	142.0	279.0	236.0	238.0	100.0	146.0
Eukaryota;TSAR;Alveolata;Ciliophora;Phyllopharyngea;Cyrtophoria_4	0.0	0.0	0.0	0.0	0.0	0.0	13.0	50.0	25.0	9.0	19.0
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Chlorophyceae;	81.0	75.0	22.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eukaryota:plas;Archaeplastida:plas;Chlorophyta:plas;Chlorophyta_X:plas;Trebouxiophyceae:plas;Watanabea-Clade:plas	6.0	0.0	9.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0
Eukaryota;TSAR;Alveolata;Ciliophora;CONThreeP;CONThreeP_X	684.0	270.0	94.0	13.0	24.0	18.0	5.0	0.0	0.0	0.0	0.0
Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Granofilosea;Desmothoracida	0.0	0.0	0.0	0.0	0.0	8.0	7.0	34.0	34.0	24.0	34.0
